# redshift	D_L [Mpc]
1.00000000e-05	4.32479532e-02
1.02096066e-05	4.41544662e-02
1.04236067e-05	4.50799806e-02
1.06420924e-05	4.60248948e-02
1.08651577e-05	4.69896153e-02
1.10928986e-05	4.79745573e-02
1.13254132e-05	4.89801447e-02
1.15628013e-05	5.00068103e-02
1.18051653e-05	5.10549959e-02
1.20526094e-05	5.21251526e-02
1.23052400e-05	5.32177408e-02
1.25631660e-05	5.43332309e-02
1.28264983e-05	5.54721029e-02
1.30953502e-05	5.66348469e-02
1.33698374e-05	5.78219632e-02
1.36500781e-05	5.90339629e-02
1.39361927e-05	6.02713674e-02
1.42283046e-05	6.15347093e-02
1.45265393e-05	6.28245322e-02
1.48310251e-05	6.41413914e-02
1.51418933e-05	6.54858534e-02
1.54592774e-05	6.68584969e-02
1.57833141e-05	6.82599126e-02
1.61141428e-05	6.96907037e-02
1.64519059e-05	7.11514859e-02
1.67967487e-05	7.26428878e-02
1.71488197e-05	7.41655514e-02
1.75082703e-05	7.57201318e-02
1.78752553e-05	7.73072982e-02
1.82499324e-05	7.89277336e-02
1.86324631e-05	8.05821353e-02
1.90230119e-05	8.22712155e-02
1.94217468e-05	8.39957010e-02
1.98288395e-05	8.57563339e-02
2.02444651e-05	8.75538720e-02
2.06688025e-05	8.93890889e-02
2.11020343e-05	9.12627745e-02
2.15443469e-05	9.31757350e-02
2.19959307e-05	9.51287939e-02
2.24569800e-05	9.71227915e-02
2.29276931e-05	9.91585862e-02
2.34082728e-05	1.01237054e-01
2.38989257e-05	1.03359090e-01
2.43998630e-05	1.05525606e-01
2.49113003e-05	1.07737536e-01
2.54334576e-05	1.09995831e-01
2.59665597e-05	1.12301464e-01
2.65108360e-05	1.14655426e-01
2.70665207e-05	1.17058730e-01
2.76338529e-05	1.19512412e-01
2.82130768e-05	1.22017527e-01
2.88044415e-05	1.24575153e-01
2.94082017e-05	1.27186391e-01
3.00246171e-05	1.29852365e-01
3.06539530e-05	1.32574222e-01
3.12964801e-05	1.35353133e-01
3.19524751e-05	1.38190296e-01
3.26222201e-05	1.41086930e-01
3.33060034e-05	1.44044283e-01
3.40041193e-05	1.47063627e-01
3.47168682e-05	1.50146262e-01
3.54445567e-05	1.53293515e-01
3.61874981e-05	1.56506740e-01
3.69460121e-05	1.59787320e-01
3.77204249e-05	1.63136667e-01
3.85110700e-05	1.66556223e-01
3.93182876e-05	1.70047460e-01
4.01424249e-05	1.73611879e-01
4.09838367e-05	1.77251016e-01
4.18428851e-05	1.80966437e-01
4.27199397e-05	1.84759741e-01
4.36153779e-05	1.88632560e-01
4.45295851e-05	1.92586561e-01
4.54629547e-05	1.96623447e-01
4.64158883e-05	2.00744955e-01
4.73887961e-05	2.04952859e-01
4.83820966e-05	2.09248970e-01
4.93962174e-05	2.13635137e-01
5.04315949e-05	2.18113248e-01
5.14886745e-05	2.22685231e-01
5.25679112e-05	2.27353053e-01
5.36697695e-05	2.32118725e-01
5.47947234e-05	2.36984296e-01
5.59432571e-05	2.41951862e-01
5.71158648e-05	2.47023561e-01
5.83130511e-05	2.52201575e-01
5.95353313e-05	2.57488134e-01
6.07832313e-05	2.62885514e-01
6.20572881e-05	2.68396037e-01
6.33580499e-05	2.74022075e-01
6.46860766e-05	2.79766051e-01
6.60419396e-05	2.85630437e-01
6.74262224e-05	2.91617757e-01
6.88395207e-05	2.97730588e-01
7.02824426e-05	3.03971563e-01
7.17556092e-05	3.10343367e-01
7.32596543e-05	3.16848744e-01
7.47952252e-05	3.23490493e-01
7.63629826e-05	3.30271474e-01
7.79636013e-05	3.37194607e-01
7.95977700e-05	3.44262871e-01
8.12661920e-05	3.51479309e-01
8.29695852e-05	3.58847028e-01
8.47086827e-05	3.66369199e-01
8.64842328e-05	3.74049062e-01
8.82969996e-05	3.81889921e-01
9.01477631e-05	3.89895153e-01
9.20373200e-05	3.98068204e-01
9.39664831e-05	4.06412593e-01
9.59360829e-05	4.14931912e-01
9.79469667e-05	4.23629828e-01
1.00000000e-04	4.32510087e-01
1.02096066e-04	4.41576511e-01
1.04236067e-04	4.50833004e-01
1.06420924e-04	4.60283552e-01
1.08651577e-04	4.69932223e-01
1.10928986e-04	4.79783171e-01
1.13254132e-04	4.89840638e-01
1.15628013e-04	5.00108954e-01
1.18051653e-04	5.10592541e-01
1.20526094e-04	5.21295911e-01
1.23052400e-04	5.32223674e-01
1.25631660e-04	5.43380534e-01
1.28264983e-04	5.54771297e-01
1.30953502e-04	5.66400866e-01
1.33698374e-04	5.78274249e-01
1.36500781e-04	5.90396559e-01
1.39361927e-04	6.02773016e-01
1.42283046e-04	6.15408948e-01
1.45265393e-04	6.28309798e-01
1.48310251e-04	6.41481120e-01
1.51418933e-04	6.54928588e-01
1.54592774e-04	6.68657990e-01
1.57833141e-04	6.82675241e-01
1.61141428e-04	6.96986376e-01
1.64519059e-04	7.11597558e-01
1.67967487e-04	7.26515081e-01
1.71488197e-04	7.41745367e-01
1.75082703e-04	7.57294978e-01
1.78752553e-04	7.73170609e-01
1.82499324e-04	7.89379098e-01
1.86324631e-04	8.05927427e-01
1.90230119e-04	8.22822721e-01
1.94217468e-04	8.40072259e-01
1.98288395e-04	8.57683471e-01
2.02444651e-04	8.75663940e-01
2.06688025e-04	8.94021414e-01
2.11020343e-04	9.12763798e-01
2.15443469e-04	9.31899167e-01
2.19959307e-04	9.51435762e-01
2.24569800e-04	9.71382001e-01
2.29276931e-04	9.91746474e-01
2.34082728e-04	1.01253796e+00
2.38989257e-04	1.03376540e+00
2.43998630e-04	1.05543796e+00
2.49113003e-04	1.07756496e+00
2.54334576e-04	1.10015595e+00
2.59665597e-04	1.12322064e+00
2.65108360e-04	1.14676899e+00
2.70665207e-04	1.17081113e+00
2.76338529e-04	1.19535743e+00
2.82130768e-04	1.22041846e+00
2.88044415e-04	1.24600502e+00
2.94082017e-04	1.27212814e+00
3.00246171e-04	1.29879907e+00
3.06539530e-04	1.32602931e+00
3.12964801e-04	1.35383059e+00
3.19524751e-04	1.38221489e+00
3.26222201e-04	1.41119444e+00
3.33060034e-04	1.44078174e+00
3.40041193e-04	1.47098954e+00
3.47168682e-04	1.50183085e+00
3.54445567e-04	1.53331898e+00
3.61874981e-04	1.56546748e+00
3.69460121e-04	1.59829023e+00
3.77204249e-04	1.63180137e+00
3.85110700e-04	1.66601534e+00
3.93182876e-04	1.70094690e+00
4.01424249e-04	1.73661110e+00
4.09838367e-04	1.77302332e+00
4.18428851e-04	1.81019927e+00
4.27199397e-04	1.84815496e+00
4.36153779e-04	1.88690677e+00
4.45295851e-04	1.92647140e+00
4.54629547e-04	1.96686592e+00
4.64158883e-04	2.00810774e+00
4.73887961e-04	2.05021466e+00
4.83820966e-04	2.09320483e+00
4.93962174e-04	2.13709679e+00
5.04315949e-04	2.18190948e+00
5.14886745e-04	2.22766222e+00
5.25679112e-04	2.27437475e+00
5.36697695e-04	2.32206722e+00
5.47947234e-04	2.37076021e+00
5.59432571e-04	2.42047472e+00
5.71158648e-04	2.47123220e+00
5.83130511e-04	2.52305455e+00
5.95353313e-04	2.57596414e+00
6.07832313e-04	2.62998380e+00
6.20572881e-04	2.68513684e+00
6.33580499e-04	2.74144705e+00
6.46860766e-04	2.79893875e+00
6.60419396e-04	2.85763675e+00
6.74262224e-04	2.91756638e+00
6.88395207e-04	2.97875352e+00
7.02824426e-04	3.04122458e+00
7.17556092e-04	3.10500653e+00
7.32596543e-04	3.17012692e+00
7.47952252e-04	3.23661385e+00
7.63629826e-04	3.30449605e+00
7.79636013e-04	3.37380282e+00
7.95977700e-04	3.44456410e+00
8.12661920e-04	3.51681045e+00
8.29695852e-04	3.59057308e+00
8.47086827e-04	3.66588386e+00
