# redshift	D_L [Mpc]
1.48310251e-04	6.57217703e-01
1.51418933e-04	6.70995020e-01
1.54592774e-04	6.85061186e-01
1.57833141e-04	6.99422260e-01
1.61141428e-04	7.14084424e-01
1.64519059e-04	7.29053994e-01
1.67967487e-04	7.44337416e-01
1.71488197e-04	7.59941271e-01
1.75082703e-04	7.75872281e-01
1.78752553e-04	7.92137306e-01
1.82499324e-04	8.08743351e-01
1.86324631e-04	8.25697568e-01
1.90230119e-04	8.43007259e-01
1.94217468e-04	8.60679880e-01
1.98288395e-04	8.78723042e-01
2.02444651e-04	8.97144516e-01
2.06688025e-04	9.15952238e-01
2.11020343e-04	9.35154308e-01
2.15443469e-04	9.54758999e-01
2.19959307e-04	9.74774753e-01
2.24569800e-04	9.95210194e-01
2.29276931e-04	1.01607412e+00
2.34082728e-04	1.03737553e+00
2.38989257e-04	1.05912359e+00
2.43998630e-04	1.08132767e+00
2.49113003e-04	1.10399735e+00
2.54334576e-04	1.12714237e+00
2.59665597e-04	1.15077272e+00
2.65108360e-04	1.17489858e+00
2.70665207e-04	1.19953034e+00
2.76338529e-04	1.22467862e+00
2.82130768e-04	1.25035424e+00
2.88044415e-04	1.27656828e+00
2.94082017e-04	1.30333203e+00
3.00246171e-04	1.33065701e+00
3.06539530e-04	1.35855502e+00
3.12964801e-04	1.38703806e+00
3.19524751e-04	1.41611841e+00
3.26222201e-04	1.44580861e+00
3.33060034e-04	1.47612145e+00
3.40041193e-04	1.50707000e+00
3.47168682e-04	1.53866759e+00
3.54445567e-04	1.57092784e+00
3.61874981e-04	1.60386466e+00
3.69460121e-04	1.63749224e+00
3.77204249e-04	1.67182508e+00
3.85110700e-04	1.70687798e+00
3.93182876e-04	1.74266605e+00
4.01424249e-04	1.77920472e+00
4.09838367e-04	1.81650974e+00
4.18428851e-04	1.85459719e+00
4.27199397e-04	1.89348350e+00
4.36153779e-04	1.93318543e+00
4.45295851e-04	1.97372010e+00
4.54629547e-04	2.01510499e+00
4.64158883e-04	2.05735794e+00
4.73887961e-04	2.10049719e+00
4.83820966e-04	2.14454132e+00
4.93962174e-04	2.18950933e+00
5.04315949e-04	2.23542063e+00
5.14886745e-04	2.28229501e+00
5.25679112e-04	2.33015268e+00
5.36697695e-04	2.37901431e+00
5.47947234e-04	2.42890095e+00
5.59432571e-04	2.47983414e+00
5.71158648e-04	2.53183585e+00
5.83130511e-04	2.58492851e+00
5.95353313e-04	2.63913503e+00
6.07832313e-04	2.69447880e+00
6.20572881e-04	2.75098370e+00
6.33580499e-04	2.80867413e+00
6.46860766e-04	2.86757496e+00
6.60419396e-04	2.92771163e+00
6.74262224e-04	2.98911010e+00
6.88395207e-04	3.05179686e+00
7.02824426e-04	3.11579897e+00
7.17556092e-04	3.18114407e+00
7.32596543e-04	3.24786036e+00
7.47952252e-04	3.31597666e+00
7.63629826e-04	3.38552237e+00
7.79636013e-04	3.45652752e+00
7.95977700e-04	3.52902279e+00
8.12661920e-04	3.60303947e+00
8.29695852e-04	3.67860954e+00
8.47086827e-04	3.75576564e+00
8.64842328e-04	3.83454111e+00
8.82969996e-04	3.91496996e+00
9.01477631e-04	3.99708696e+00
9.20373200e-04	4.08092758e+00
9.39664831e-04	4.16652806e+00
9.59360829e-04	4.25392539e+00
9.79469667e-04	4.34315734e+00
1.00000000e-03	4.43426248e+00
1.02096066e-03	4.52728020e+00
1.04236067e-03	4.62225070e+00
1.06420924e-03	4.71921506e+00
1.08651577e-03	4.81821519e+00
1.10928986e-03	4.91929391e+00
1.13254132e-03	5.02249495e+00
1.15628013e-03	5.12786293e+00
1.18051653e-03	5.23544343e+00
1.20526094e-03	5.34528301e+00
1.23052400e-03	5.45742918e+00
1.25631660e-03	5.57193048e+00
1.28264983e-03	5.68883646e+00
1.30953502e-03	5.80819772e+00
1.33698374e-03	5.93006592e+00
1.36500781e-03	6.05449384e+00
1.39361927e-03	6.18153535e+00
1.42283046e-03	6.31124545e+00
1.45265393e-03	6.44368034e+00
1.48310251e-03	6.57889738e+00
1.51418933e-03	6.71695514e+00
1.54592774e-03	6.85791345e+00
1.57833141e-03	7.00183338e+00
1.61141428e-03	7.14877732e+00
1.64519059e-03	7.29880895e+00
1.67967487e-03	7.45199333e+00
1.71488197e-03	7.60839688e+00
1.75082703e-03	7.76808741e+00
1.78752553e-03	7.93113421e+00
1.82499324e-03	8.09760799e+00
1.86324631e-03	8.26758100e+00
1.90230119e-03	8.44112699e+00
1.94217468e-03	8.61832128e+00
1.98288395e-03	8.79924080e+00
2.02444651e-03	8.98396410e+00
2.06688025e-03	9.17257141e+00
2.11020343e-03	9.36514465e+00
2.15443469e-03	9.56176747e+00
2.19959307e-03	9.76252531e+00
2.24569800e-03	9.96750543e+00
2.29276931e-03	1.01767969e+01
2.34082728e-03	1.03904908e+01
2.38989257e-03	1.06086800e+01
2.43998630e-03	1.08314594e+01
2.49113003e-03	1.10589260e+01
2.54334576e-03	1.12911786e+01
2.59665597e-03	1.15283185e+01
2.65108360e-03	1.17704489e+01
2.70665207e-03	1.20176752e+01
2.76338529e-03	1.22701051e+01
2.82130768e-03	1.25278486e+01
2.88044415e-03	1.27910180e+01
2.94082017e-03	1.30597280e+01
3.00246171e-03	1.33340959e+01
3.06539530e-03	1.36142412e+01
3.12964801e-03	1.39002862e+01
3.19524751e-03	1.41923558e+01
3.26222201e-03	1.44905773e+01
3.33060034e-03	1.47950812e+01
3.40041193e-03	1.51060002e+01
3.47168682e-03	1.54234704e+01
3.54445567e-03	1.57476304e+01
3.61874981e-03	1.60786220e+01
3.69460121e-03	1.64165900e+01
3.77204249e-03	1.67616821e+01
3.85110700e-03	1.71140494e+01
3.93182876e-03	1.74738463e+01
4.01424249e-03	1.78412302e+01
4.09838367e-03	1.82163620e+01
4.18428851e-03	1.85994063e+01
4.27199397e-03	1.89905310e+01
4.36153779e-03	1.93899075e+01
4.45295851e-03	1.97977111e+01
4.54629547e-03	2.02141209e+01
4.64158883e-03	2.06393197e+01
4.73887961e-03	2.10734942e+01
4.83820966e-03	2.15168353e+01
4.93962174e-03	2.19695379e+01
5.04315949e-03	2.24318012e+01
5.14886745e-03	2.29038285e+01
5.25679112e-03	2.33858277e+01
5.36697695e-03	2.38780110e+01
5.47947234e-03	2.43805955e+01
5.59432571e-03	2.48938026e+01
5.71158648e-03	2.54178588e+01
5.83130511e-03	2.59529953e+01
5.95353313e-03	2.64994484e+01
6.07832313e-03	2.70574595e+01
6.20572881e-03	2.76272754e+01
6.33580499e-03	2.82091480e+01
6.46860766e-03	2.88033348e+01
6.60419396e-03	2.94100988e+01
6.74262224e-03	3.00297089e+01
6.88395207e-03	3.06624398e+01
7.02824426e-03	3.13085721e+01
7.17556092e-03	3.19683926e+01
7.32596543e-03	3.26421942e+01
7.47952252e-03	3.33302764e+01
7.63629826e-03	3.40329452e+01
7.79636013e-03	3.47505132e+01
7.95977700e-03	3.54833000e+01
8.12661920e-03	3.62316319e+01
8.29695852e-03	3.69958428e+01
8.47086827e-03	3.77762735e+01
8.64842328e-03	3.85732726e+01
8.82969996e-03	3.93871962e+01
9.01477631e-03	4.02184083e+01
9.20373200e-03	4.10672808e+01
9.39664831e-03	4.19341939e+01
9.59360829e-03	4.28195363e+01
9.79469667e-03	4.37237050e+01
1.00000000e-02	4.46471061e+01
1.02096066e-02	4.55901545e+01
1.04236067e-02	4.65532743e+01
1.06420924e-02	4.75368990e+01
1.08651577e-02	4.85414718e+01
1.10928986e-02	4.95674457e+01
1.13254132e-02	5.06152838e+01
1.15628013e-02	5.16854595e+01
1.18051653e-02	5.27784567e+01
1.20526094e-02	5.38947702e+01
1.23052400e-02	5.50349059e+01
1.25631660e-02	5.61993809e+01
1.28264983e-02	5.73887238e+01
1.30953502e-02	5.86034754e+01
1.33698374e-02	5.98441883e+01
1.36500781e-02	6.11114277e+01
1.39361927e-02	6.24057715e+01
1.42283046e-02	6.37278105e+01
1.45265393e-02	6.50781491e+01
1.48310251e-02	6.64574051e+01
1.51418933e-02	6.78662106e+01
1.54592774e-02	6.93052115e+01
1.57833141e-02	7.07750690e+01
1.61141428e-02	7.22764588e+01
1.64519059e-02	7.38100723e+01
1.67967487e-02	7.53766166e+01
1.71488197e-02	7.69768147e+01
1.75082703e-02	7.86114066e+01
1.78752553e-02	8.02811488e+01
1.82499324e-02	8.19868153e+01
1.86324631e-02	8.37291979e+01
1.90230119e-02	8.55091068e+01
1.94217468e-02	8.73273705e+01
1.98288395e-02	8.91848368e+01
2.02444651e-02	9.10823731e+01
2.06688025e-02	9.30208670e+01
2.11020343e-02	9.50012264e+01
2.15443469e-02	9.70243806e+01
2.19959307e-02	9.90912804e+01
2.24569800e-02	1.01202899e+02
2.29276931e-02	1.03360231e+02
2.34082728e-02	1.05564296e+02
2.38989257e-02	1.07816138e+02
2.43998630e-02	1.10116822e+02
2.49113003e-02	1.12467443e+02
2.54334576e-02	1.14869117e+02
2.59665597e-02	1.17322990e+02
2.65108360e-02	1.19830232e+02
2.70665207e-02	1.22392045e+02
2.76338529e-02	1.25009654e+02
2.82130768e-02	1.27684319e+02
2.88044415e-02	1.30417325e+02
2.94082017e-02	1.33209990e+02
3.00246171e-02	1.36063665e+02
3.06539530e-02	1.38979730e+02
3.12964801e-02	1.41959600e+02
3.19524751e-02	1.45004726e+02
3.26222201e-02	1.48116590e+02
3.33060034e-02	1.51296712e+02
3.40041193e-02	1.54546650e+02
3.47168682e-02	1.57867997e+02
3.54445567e-02	1.61262388e+02
3.61874981e-02	1.64731495e+02
3.69460121e-02	1.68277033e+02
3.77204249e-02	1.71900758e+02
3.85110700e-02	1.75604468e+02
3.93182876e-02	1.79390008e+02
4.01424249e-02	1.83259266e+02
4.09838367e-02	1.87214178e+02
4.18428851e-02	1.91256728e+02
4.27199397e-02	1.95388949e+02
4.36153779e-02	1.99612924e+02
4.45295851e-02	2.03930788e+02
4.54629547e-02	2.08344732e+02
4.64158883e-02	2.12856998e+02
4.73887961e-02	2.17469887e+02
4.83820966e-02	2.22185756e+02
4.93962174e-02	2.27007024e+02
5.04315949e-02	2.31936169e+02
5.14886745e-02	2.36975733e+02
5.25679112e-02	2.42128323e+02
5.36697695e-02	2.47396610e+02
5.47947234e-02	2.52783337e+02
5.59432571e-02	2.58291313e+02
5.71158648e-02	2.63923424e+02
5.83130511e-02	2.69682625e+02
5.95353313e-02	2.75571952e+02
6.07832313e-02	2.81594515e+02
6.20572881e-02	2.87753510e+02
6.33580499e-02	2.94052210e+02
6.46860766e-02	3.00493978e+02
6.60419396e-02	3.07082262e+02
6.74262224e-02	3.13820601e+02
6.88395207e-02	3.20712628e+02
7.02824426e-02	3.27762070e+02
7.17556092e-02	3.34972753e+02
7.32596543e-02	3.42348603e+02
7.47952252e-02	3.49893651e+02
7.63629826e-02	3.57612035e+02
7.79636013e-02	3.65508003e+02
7.95977700e-02	3.73585915e+02
8.12661920e-02	3.81850250e+02
8.29695852e-02	3.90305603e+02
8.47086827e-02	3.98956697e+02
8.64842328e-02	4.07808380e+02
8.82969996e-02	4.16865628e+02
9.01477631e-02	4.26133557e+02
9.20373200e-02	4.35617416e+02
9.39664831e-02	4.45322600e+02
9.59360829e-02	4.55254650e+02
9.79469667e-02	4.65419257e+02
1.00000000e-01	4.75822268e+02
1.02096066e-01	4.86469689e+02
1.04236067e-01	4.97367694e+02
1.06420924e-01	5.08522622e+02
1.08651577e-01	5.19940990e+02
1.10928986e-01	5.31629492e+02
1.13254132e-01	5.43595009e+02
1.15628013e-01	5.55844611e+02
1.18051653e-01	5.68385565e+02
1.20526094e-01	5.81225339e+02
1.23052400e-01	5.94371610e+02
1.25631660e-01	6.07832266e+02
1.28264983e-01	6.21615418e+02
1.30953502e-01	6.35729403e+02
1.33698374e-01	6.50182790e+02
1.36500781e-01	6.64984390e+02
1.39361927e-01	6.80143259e+02
1.42283046e-01	6.95668710e+02
1.45265393e-01	7.11570315e+02
1.48310251e-01	7.27857919e+02
1.51418933e-01	7.44541642e+02
1.54592774e-01	7.61631891e+02
1.57833141e-01	7.79139365e+02
1.61141428e-01	7.97075069e+02
1.64519059e-01	8.15450317e+02
1.67967487e-01	8.34276743e+02
1.71488197e-01	8.53566313e+02
1.75082703e-01	8.73331330e+02
1.78752553e-01	8.93584448e+02
1.82499324e-01	9.14338679e+02
1.86324631e-01	9.35607404e+02
1.90230119e-01	9.57404387e+02
1.94217468e-01	9.79743779e+02
1.98288395e-01	1.00264014e+03
2.02444651e-01	1.02610843e+03
2.06688025e-01	1.05016405e+03
2.11020343e-01	1.07482283e+03
2.15443469e-01	1.10010105e+03
2.19959307e-01	1.12601546e+03
2.24569800e-01	1.15258327e+03
2.29276931e-01	1.17982219e+03
2.34082728e-01	1.20775043e+03
2.38989257e-01	1.23638671e+03
2.43998630e-01	1.26575029e+03
2.49113003e-01	1.29586098e+03
2.54334576e-01	1.32673912e+03
2.59665597e-01	1.35840565e+03
2.65108360e-01	1.39088210e+03
2.70665207e-01	1.42419059e+03
2.76338529e-01	1.45835387e+03
2.82130768e-01	1.49339533e+03
2.88044415e-01	1.52933902e+03
2.94082017e-01	1.56620965e+03
3.00246171e-01	1.60403262e+03
3.06539530e-01	1.64283405e+03
3.12964801e-01	1.68264077e+03
3.19524751e-01	1.72348038e+03
3.26222201e-01	1.76538120e+03
3.33060034e-01	1.80837236e+03
3.40041193e-01	1.85248380e+03
3.47168682e-01	1.89774625e+03
3.54445567e-01	1.94419132e+03
3.61874981e-01	1.99185143e+03
3.69460121e-01	2.04075994e+03
3.77204249e-01	2.09095107e+03
3.85110700e-01	2.14245998e+03
3.93182876e-01	2.19532277e+03
4.01424249e-01	2.24957653e+03
4.09838367e-01	2.30525930e+03
4.18428851e-01	2.36241017e+03
4.27199397e-01	2.42106925e+03
4.36153779e-01	2.48127771e+03
4.45295851e-01	2.54307781e+03
4.54629547e-01	2.60651290e+03
4.64158883e-01	2.67162747e+03
4.73887961e-01	2.73846717e+03
4.83820966e-01	2.80707883e+03
4.93962174e-01	2.87751047e+03
5.04315949e-01	2.94981135e+03
5.14886745e-01	3.02403199e+03
5.25679112e-01	3.10022419e+03
5.36697695e-01	3.17844106e+03
5.47947234e-01	3.25873702e+03
5.59432571e-01	3.34116789e+03
5.71158648e-01	3.42579086e+03
5.83130511e-01	3.51266453e+03
5.95353313e-01	3.60184895e+03
6.07832313e-01	3.69340564e+03
6.20572881e-01	3.78739764e+03
6.33580499e-01	3.88388950e+03
6.46860766e-01	3.98294734e+03
6.60419396e-01	4.08463886e+03
6.74262224e-01	4.18903339e+03
6.88395207e-01	4.29620192e+03
7.02824426e-01	4.40621710e+03
7.17556092e-01	4.51915333e+03
7.32596543e-01	4.63508671e+03
7.47952252e-01	4.75409517e+03
7.63629826e-01	4.87625842e+03
7.79636013e-01	5.00165805e+03
7.95977700e-01	5.13037751e+03
8.12661920e-01	5.26250218e+03
8.29695852e-01	5.39811939e+03
8.47086827e-01	5.53731849e+03
8.64842328e-01	5.68019084e+03
8.82969996e-01	5.82682988e+03
9.01477631e-01	5.97733116e+03
9.20373200e-01	6.13179240e+03
9.39664831e-01	6.29031350e+03
9.59360829e-01	6.45299662e+03
9.79469667e-01	6.61994617e+03
1.00000000e+00	6.79126894e+03
1.02096066e+00	6.96707407e+03
1.04236067e+00	7.14747311e+03
1.06420924e+00	7.33258014e+03
1.08651577e+00	7.52251171e+03
1.10928986e+00	7.71738700e+03
1.13254132e+00	7.91732778e+03
1.15628013e+00	8.12245855e+03
1.18051653e+00	8.33290652e+03
1.20526094e+00	8.54880174e+03
1.23052400e+00	8.77027711e+03
1.25631660e+00	8.99746845e+03
1.28264983e+00	9.23051458e+03
1.30953502e+00	9.46955739e+03
1.33698374e+00	9.71474187e+03
1.36500781e+00	9.96621623e+03
1.39361927e+00	1.02241319e+04
1.42283046e+00	1.04886438e+04
1.45265393e+00	1.07599099e+04
1.48310251e+00	1.10380922e+04
1.51418933e+00	1.13233557e+04
1.54592774e+00	1.16158695e+04
1.57833141e+00	1.19158062e+04
1.61141428e+00	1.22233423e+04
1.64519059e+00	1.25386581e+04
1.67967487e+00	1.28619379e+04
1.71488197e+00	1.31933704e+04
1.75082703e+00	1.35331479e+04
1.78752553e+00	1.38814675e+04
1.82499324e+00	1.42385305e+04
1.86324631e+00	1.46045424e+04
1.90230119e+00	1.49797138e+04
1.94217468e+00	1.53642594e+04
1.98288395e+00	1.57583991e+04
2.02444651e+00	1.61623575e+04
2.06688025e+00	1.65763643e+04
2.11020343e+00	1.70006542e+04
2.15443469e+00	1.74354672e+04
2.19959307e+00	1.78810486e+04
2.24569800e+00	1.83376493e+04
2.29276931e+00	1.88055256e+04
2.34082728e+00	1.92849397e+04
2.38989257e+00	1.97761594e+04
2.43998630e+00	2.02794587e+04
2.49113003e+00	2.07951177e+04
2.54334576e+00	2.13234226e+04
2.59665597e+00	2.18646660e+04
2.65108360e+00	2.24191471e+04
2.70665207e+00	2.29871717e+04
2.76338529e+00	2.35690526e+04
2.82130768e+00	2.41651092e+04
2.88044415e+00	2.47756683e+04
2.94082017e+00	2.54010638e+04
3.00246171e+00	2.60416372e+04
3.06539530e+00	2.66977375e+04
3.12964801e+00	2.73697213e+04
3.19524751e+00	2.80579533e+04
3.26222201e+00	2.87628064e+04
3.33060034e+00	2.94846614e+04
3.40041193e+00	3.02239078e+04
3.47168682e+00	3.09809437e+04
3.54445567e+00	3.17561759e+04
3.61874981e+00	3.25500203e+04
3.69460121e+00	3.33629020e+04
3.77204249e+00	3.41952554e+04
3.85110700e+00	3.50475245e+04
3.93182876e+00	3.59201631e+04
4.01424249e+00	3.68136350e+04
4.09838367e+00	3.77284142e+04
4.18428851e+00	3.86649852e+04
4.27199397e+00	3.96238429e+04
4.36153779e+00	4.06054934e+04
4.45295851e+00	4.16104537e+04
4.54629547e+00	4.26392522e+04
4.64158883e+00	4.36924288e+04
4.73887961e+00	4.47705352e+04
4.83820966e+00	4.58741355e+04
4.93962174e+00	4.70038056e+04
5.04315949e+00	4.81601344e+04
5.14886745e+00	4.93437234e+04
5.25679112e+00	5.05551874e+04
5.36697695e+00	5.17951545e+04
5.47947234e+00	5.30642665e+04
5.59432571e+00	5.43631792e+04
5.71158648e+00	5.56925626e+04
5.83130511e+00	5.70531013e+04
5.95353313e+00	5.84454947e+04
6.07832313e+00	5.98704576e+04
6.20572881e+00	6.13287200e+04
6.33580499e+00	6.28210281e+04
6.46860766e+00	6.43481438e+04
6.60419396e+00	6.59108459e+04
6.74262224e+00	6.75099299e+04
6.88395207e+00	6.91462085e+04
7.02824426e+00	7.08205120e+04
7.17556092e+00	7.25336886e+04
7.32596543e+00	7.42866048e+04
7.47952252e+00	7.60801460e+04
7.63629826e+00	7.79152165e+04
7.79636013e+00	7.97927401e+04
7.95977700e+00	8.17136605e+04
8.12661920e+00	8.36789420e+04
8.29695852e+00	8.56895693e+04
8.47086827e+00	8.77465485e+04
8.64842328e+00	8.98509073e+04
8.82969996e+00	9.20036955e+04
9.01477631e+00	9.42059855e+04
9.20373200e+00	9.64588727e+04
9.39664831e+00	9.87634760e+04
9.59360829e+00	1.01120939e+05
9.79469667e+00	1.03532428e+05
1.00000000e+01	1.05999136e+05
1.02096066e+01	1.08522281e+05
1.04236067e+01	1.11103109e+05
1.06420924e+01	1.13742888e+05
1.08651577e+01	1.16442919e+05
1.10928986e+01	1.19204525e+05
1.13254132e+01	1.22029063e+05
1.15628013e+01	1.24917915e+05
1.18051653e+01	1.27872495e+05
1.20526094e+01	1.30894244e+05
1.23052400e+01	1.33984639e+05
1.25631660e+01	1.37145183e+05
1.28264983e+01	1.40377415e+05
1.30953502e+01	1.43682905e+05
1.33698374e+01	1.47063258e+05
1.36500781e+01	1.50520112e+05
1.39361927e+01	1.54055139e+05
1.42283046e+01	1.57670051e+05
1.45265393e+01	1.61366591e+05
1.48310251e+01	1.65146543e+05
1.51418933e+01	1.69011728e+05
1.54592774e+01	1.72964006e+05
1.57833141e+01	1.77005275e+05
1.61141428e+01	1.81137475e+05
1.64519059e+01	1.85362589e+05
1.67967487e+01	1.89682638e+05
1.71488197e+01	1.94099691e+05
1.75082703e+01	1.98615856e+05
1.78752553e+01	2.03233291e+05
1.82499324e+01	2.07954195e+05
1.86324631e+01	2.12780817e+05
1.90230119e+01	2.17715454e+05
1.94217468e+01	2.22760450e+05
1.98288395e+01	2.27918200e+05
2.02444651e+01	2.33191150e+05
2.06688025e+01	2.38581797e+05
2.11020343e+01	2.44092693e+05
2.15443469e+01	2.49726442e+05
2.19959307e+01	2.55485705e+05
2.24569800e+01	2.61373198e+05
2.29276931e+01	2.67391697e+05
2.34082728e+01	2.73544036e+05
2.38989257e+01	2.79833107e+05
2.43998630e+01	2.86261866e+05
2.49113003e+01	2.92833332e+05
2.54334576e+01	2.99550586e+05
2.59665597e+01	3.06416776e+05
2.65108360e+01	3.13435116e+05
2.70665207e+01	3.20608889e+05
2.76338529e+01	3.27941446e+05
2.82130768e+01	3.35436212e+05
2.88044415e+01	3.43096682e+05
2.94082017e+01	3.50926425e+05
3.00246171e+01	3.58929089e+05
3.06539530e+01	3.67108394e+05
3.12964801e+01	3.75468145e+05
3.19524751e+01	3.84012222e+05
3.26222201e+01	3.92744591e+05
3.33060034e+01	4.01669301e+05
3.40041193e+01	4.10790485e+05
3.47168682e+01	4.20112366e+05
3.54445567e+01	4.29639256e+05
3.61874981e+01	4.39375557e+05
3.69460121e+01	4.49325765e+05
3.77204249e+01	4.59494472e+05
3.85110700e+01	4.69886366e+05
3.93182876e+01	4.80506233e+05
4.01424249e+01	4.91358964e+05
4.09838367e+01	5.02449551e+05
4.18428851e+01	5.13783091e+05
4.27199397e+01	5.25364790e+05
4.36153779e+01	5.37199965e+05
4.45295851e+01	5.49294043e+05
4.54629547e+01	5.61652568e+05
4.64158883e+01	5.74281199e+05
4.73887961e+01	5.87185717e+05
4.83820966e+01	6.00372024e+05
4.93962174e+01	6.13846147e+05
5.04315949e+01	6.27614240e+05
5.14886745e+01	6.41682586e+05
5.25679112e+01	6.56057604e+05
5.36697695e+01	6.70745846e+05
5.47947234e+01	6.85754002e+05
5.59432571e+01	7.01088905e+05
5.71158648e+01	7.16757532e+05
5.83130511e+01	7.32767005e+05
5.95353313e+01	7.49124601e+05
6.07832313e+01	7.65837745e+05
6.20572881e+01	7.82914024e+05
6.33580499e+01	8.00361181e+05
6.46860766e+01	8.18187125e+05
6.60419396e+01	8.36399930e+05
6.74262224e+01	8.55007843e+05
6.88395207e+01	8.74019281e+05
7.02824426e+01	8.93442843e+05
7.17556092e+01	9.13287306e+05
7.32596543e+01	9.33561634e+05
7.47952252e+01	9.54274978e+05
7.63629826e+01	9.75436685e+05
7.79636013e+01	9.97056296e+05
7.95977700e+01	1.01914356e+06
8.12661920e+01	1.04170841e+06
8.29695852e+01	1.06476102e+06
8.47086827e+01	1.08831176e+06
8.64842328e+01	1.11237122e+06
8.82969996e+01	1.13695021e+06
9.01477631e+01	1.16205978e+06
9.20373200e+01	1.18771120e+06
9.39664831e+01	1.21391598e+06
9.59360829e+01	1.24068588e+06
