# redshift	D_L [Mpc]
1.00000000e-05	4.42566816e-02
1.02096066e-05	4.51843382e-02
1.04236067e-05	4.61314395e-02
1.06420924e-05	4.70983929e-02
1.08651577e-05	4.80856146e-02
1.10928986e-05	4.90935296e-02
1.13254132e-05	5.01225714e-02
1.15628013e-05	5.11731830e-02
1.18051653e-05	5.22458166e-02
1.20526094e-05	5.33409336e-02
1.23052400e-05	5.44590055e-02
1.25631660e-05	5.56005133e-02
1.28264983e-05	5.67659484e-02
1.30953502e-05	5.79558123e-02
1.33698374e-05	5.91706169e-02
1.36500781e-05	6.04108853e-02
1.39361927e-05	6.16771510e-02
1.42283046e-05	6.29699590e-02
1.45265393e-05	6.42898658e-02
1.48310251e-05	6.56374393e-02
1.51418933e-05	6.70132596e-02
1.54592774e-05	6.84179185e-02
1.57833141e-05	6.98520208e-02
1.61141428e-05	7.13161836e-02
1.64519059e-05	7.28110369e-02
1.67967487e-05	7.43372241e-02
1.71488197e-05	7.58954021e-02
1.75082703e-05	7.74862414e-02
1.78752553e-05	7.91104267e-02
1.82499324e-05	8.07686568e-02
1.86324631e-05	8.24616456e-02
1.90230119e-05	8.41901216e-02
1.94217468e-05	8.59548286e-02
1.98288395e-05	8.77565262e-02
2.02444651e-05	8.95959897e-02
2.06688025e-05	9.14740108e-02
2.11020343e-05	9.33913977e-02
2.15443469e-05	9.53489757e-02
2.19959307e-05	9.73475871e-02
2.24569800e-05	9.93880923e-02
2.29276931e-05	1.01471369e-01
2.34082728e-05	1.03598315e-01
2.38989257e-05	1.05769844e-01
2.43998630e-05	1.07986891e-01
2.49113003e-05	1.10250411e-01
2.54334576e-05	1.12561378e-01
2.59665597e-05	1.14920786e-01
2.65108360e-05	1.17329651e-01
2.70665207e-05	1.19789009e-01
2.76338529e-05	1.22299920e-01
2.82130768e-05	1.24863463e-01
2.88044415e-05	1.27480741e-01
2.94082017e-05	1.30152882e-01
3.00246171e-05	1.32881036e-01
3.06539530e-05	1.35666376e-01
3.12964801e-05	1.38510102e-01
3.19524751e-05	1.41413436e-01
3.26222201e-05	1.44377630e-01
3.33060034e-05	1.47403958e-01
3.40041193e-05	1.50493723e-01
3.47168682e-05	1.53648256e-01
3.54445567e-05	1.56868912e-01
3.61874981e-05	1.60157080e-01
3.69460121e-05	1.63514174e-01
3.77204249e-05	1.66941639e-01
3.85110700e-05	1.70440949e-01
3.93182876e-05	1.74013613e-01
4.01424249e-05	1.77661166e-01
4.09838367e-05	1.81385178e-01
4.18428851e-05	1.85187254e-01
4.27199397e-05	1.89069029e-01
4.36153779e-05	1.93032174e-01
4.45295851e-05	1.97078395e-01
4.54629547e-05	2.01209432e-01
4.64158883e-05	2.05427066e-01
4.73887961e-05	2.09733110e-01
4.83820966e-05	2.14129418e-01
4.93962174e-05	2.18617883e-01
5.04315949e-05	2.23200436e-01
