# redshift	D_L [Mpc]
3.85110700e-04	1.64046402e+00
3.93182876e-04	1.67485999e+00
4.01424249e-04	1.70997738e+00
4.09838367e-04	1.74583132e+00
4.18428851e-04	1.78243728e+00
4.27199397e-04	1.81981104e+00
4.36153779e-04	1.85796872e+00
4.45295851e-04	1.89692677e+00
4.54629547e-04	1.93670199e+00
4.64158883e-04	1.97731153e+00
4.73887961e-04	2.01877291e+00
4.83820966e-04	2.06110401e+00
4.93962174e-04	2.10432309e+00
5.04315949e-04	2.14844879e+00
5.14886745e-04	2.19350014e+00
5.25679112e-04	2.23949658e+00
5.36697695e-04	2.28645794e+00
5.47947234e-04	2.33440450e+00
5.59432571e-04	2.38335694e+00
5.71158648e-04	2.43333637e+00
5.83130511e-04	2.48436436e+00
5.95353313e-04	2.53646294e+00
6.07832313e-04	2.58965458e+00
6.20572881e-04	2.64396224e+00
6.33580499e-04	2.69940936e+00
6.46860766e-04	2.75601988e+00
6.60419396e-04	2.81381822e+00
6.74262224e-04	2.87282933e+00
6.88395207e-04	2.93307870e+00
7.02824426e-04	2.99459233e+00
7.17556092e-04	3.05739678e+00
7.32596543e-04	3.12151916e+00
7.47952252e-04	3.18698718e+00
7.63629826e-04	3.25382910e+00
7.79636013e-04	3.32207379e+00
7.95977700e-04	3.39175072e+00
8.12661920e-04	3.46288999e+00
8.29695852e-04	3.53552234e+00
8.47086827e-04	3.60967913e+00
8.64842328e-04	3.68539241e+00
8.82969996e-04	3.76269490e+00
9.01477631e-04	3.84161999e+00
9.20373200e-04	3.92220180e+00
9.39664831e-04	4.00447515e+00
9.59360829e-04	4.08847561e+00
9.79469667e-04	4.17423948e+00
1.00000000e-03	4.26180384e+00
1.02096066e-03	4.35120656e+00
1.04236067e-03	4.44248628e+00
1.06420924e-03	4.53568249e+00
1.08651577e-03	4.63083549e+00
1.10928986e-03	4.72798643e+00
1.13254132e-03	4.82717735e+00
1.15628013e-03	4.92845115e+00
1.18051653e-03	5.03185165e+00
1.20526094e-03	5.13742359e+00
1.23052400e-03	5.24521268e+00
1.25631660e-03	5.35526555e+00
1.28264983e-03	5.46762985e+00
1.30953502e-03	5.58235422e+00
1.33698374e-03	5.69948834e+00
1.36500781e-03	5.81908293e+00
1.39361927e-03	5.94118978e+00
1.42283046e-03	6.06586180e+00
1.45265393e-03	6.19315298e+00
1.48310251e-03	6.32311848e+00
1.51418933e-03	6.45581462e+00
1.54592774e-03	6.59129890e+00
1.57833141e-03	6.72963006e+00
1.61141428e-03	6.87086806e+00
1.64519059e-03	7.01507415e+00
1.67967487e-03	7.16231086e+00
1.71488197e-03	7.31264205e+00
1.75082703e-03	7.46613293e+00
1.78752553e-03	7.62285011e+00
1.82499324e-03	7.78286159e+00
1.86324631e-03	7.94623681e+00
1.90230119e-03	8.11304669e+00
1.94217468e-03	8.28336368e+00
1.98288395e-03	8.45726171e+00
2.02444651e-03	8.63481633e+00
2.06688025e-03	8.81610467e+00
2.11020343e-03	9.00120550e+00
2.15443469e-03	9.19019927e+00
2.19959307e-03	9.38316812e+00
2.24569800e-03	9.58019596e+00
2.29276931e-03	9.78136847e+00
2.34082728e-03	9.98677315e+00
2.38989257e-03	1.01964994e+01
2.43998630e-03	1.04106384e+01
2.49113003e-03	1.06292834e+01
2.54334576e-03	1.08525296e+01
2.59665597e-03	1.10804742e+01
2.65108360e-03	1.13132165e+01
2.70665207e-03	1.15508579e+01
2.76338529e-03	1.17935019e+01
2.82130768e-03	1.20412544e+01
2.88044415e-03	1.22942234e+01
2.94082017e-03	1.25525191e+01
3.00246171e-03	1.28162543e+01
3.06539530e-03	1.30855441e+01
3.12964801e-03	1.33605059e+01
3.19524751e-03	1.36412600e+01
3.26222201e-03	1.39279288e+01
3.33060034e-03	1.42206376e+01
3.40041193e-03	1.45195145e+01
3.47168682e-03	1.48246899e+01
3.54445567e-03	1.51362975e+01
3.61874981e-03	1.54544734e+01
3.69460121e-03	1.57793570e+01
3.77204249e-03	1.61110904e+01
3.85110700e-03	1.64498190e+01
3.93182876e-03	1.67956912e+01
4.01424249e-03	1.71488584e+01
4.09838367e-03	1.75094755e+01
4.18428851e-03	1.78777008e+01
4.27199397e-03	1.82536957e+01
4.36153779e-03	1.86376252e+01
4.45295851e-03	1.90296581e+01
4.54629547e-03	1.94299663e+01
4.64158883e-03	1.98387260e+01
4.73887961e-03	2.02561168e+01
4.83820966e-03	2.06823222e+01
4.93962174e-03	2.11175299e+01
5.04315949e-03	2.15619313e+01
5.14886745e-03	2.20157224e+01
5.25679112e-03	2.24791029e+01
5.36697695e-03	2.29522773e+01
5.47947234e-03	2.34354541e+01
5.59432571e-03	2.39288467e+01
5.71158648e-03	2.44326729e+01
5.83130511e-03	2.49471552e+01
5.95353313e-03	2.54725211e+01
6.07832313e-03	2.60090029e+01
6.20572881e-03	2.65568380e+01
6.33580499e-03	2.71162689e+01
6.46860766e-03	2.76875434e+01
6.60419396e-03	2.82709148e+01
6.74262224e-03	2.88666418e+01
6.88395207e-03	2.94749887e+01
7.02824426e-03	3.00962258e+01
7.17556092e-03	3.07306290e+01
7.32596543e-03	3.13784804e+01
7.47952252e-03	3.20400683e+01
7.63629826e-03	3.27156872e+01
7.79636013e-03	3.34056382e+01
7.95977700e-03	3.41102288e+01
8.12661920e-03	3.48297734e+01
8.29695852e-03	3.55645933e+01
8.47086827e-03	3.63150167e+01
8.64842328e-03	3.70813793e+01
8.82969996e-03	3.78640240e+01
9.01477631e-03	3.86633013e+01
9.20373200e-03	3.94795695e+01
9.39664831e-03	4.03131946e+01
9.59360829e-03	4.11645509e+01
9.79469667e-03	4.20340211e+01
1.00000000e-02	4.29219959e+01
1.02096066e-02	4.38288753e+01
1.04236067e-02	4.47550676e+01
1.06420924e-02	4.57009906e+01
1.08651577e-02	4.66670711e+01
1.10928986e-02	4.76537457e+01
1.13254132e-02	4.86614604e+01
1.15628013e-02	4.96906714e+01
1.18051653e-02	5.07418450e+01
1.20526094e-02	5.18154580e+01
1.23052400e-02	5.29119979e+01
1.25631660e-02	5.40319629e+01
1.28264983e-02	5.51758628e+01
1.30953502e-02	5.63442184e+01
1.33698374e-02	5.75375627e+01
1.36500781e-02	5.87564403e+01
1.39361927e-02	6.00014083e+01
1.42283046e-02	6.12730364e+01
1.45265393e-02	6.25719073e+01
1.48310251e-02	6.38986165e+01
1.51418933e-02	6.52537735e+01
1.54592774e-02	6.66380015e+01
1.57833141e-02	6.80519376e+01
1.61141428e-02	6.94962339e+01
1.64519059e-02	7.09715570e+01
1.67967487e-02	7.24785890e+01
1.71488197e-02	7.40180275e+01
1.75082703e-02	7.55905860e+01
1.78752553e-02	7.71969947e+01
1.82499324e-02	7.88380003e+01
1.86324631e-02	8.05143668e+01
1.90230119e-02	8.22268760e+01
1.94217468e-02	8.39763275e+01
1.98288395e-02	8.57635396e+01
2.02444651e-02	8.75893495e+01
2.06688025e-02	8.94546140e+01
2.11020343e-02	9.13602097e+01
2.15443469e-02	9.33070337e+01
2.19959307e-02	9.52960040e+01
2.24569800e-02	9.73280602e+01
2.29276931e-02	9.94041638e+01
2.34082728e-02	1.01525299e+02
2.38989257e-02	1.03692473e+02
2.43998630e-02	1.05906717e+02
2.49113003e-02	1.08169087e+02
2.54334576e-02	1.10480662e+02
2.59665597e-02	1.12842550e+02
2.65108360e-02	1.15255881e+02
2.70665207e-02	1.17721816e+02
2.76338529e-02	1.20241542e+02
2.82130768e-02	1.22816273e+02
2.88044415e-02	1.25447254e+02
2.94082017e-02	1.28135760e+02
3.00246171e-02	1.30883096e+02
3.06539530e-02	1.33690597e+02
3.12964801e-02	1.36559633e+02
3.19524751e-02	1.39491605e+02
3.26222201e-02	1.42487950e+02
3.33060034e-02	1.45550138e+02
3.40041193e-02	1.48679676e+02
3.47168682e-02	1.51878107e+02
3.54445567e-02	1.55147012e+02
3.61874981e-02	1.58488012e+02
3.69460121e-02	1.61902766e+02
3.77204249e-02	1.65392975e+02
3.85110700e-02	1.68960382e+02
3.93182876e-02	1.72606773e+02
4.01424249e-02	1.76333978e+02
4.09838367e-02	1.80143873e+02
4.18428851e-02	1.84038380e+02
4.27199397e-02	1.88019470e+02
4.36153779e-02	1.92089163e+02
4.45295851e-02	1.96249531e+02
4.54629547e-02	2.00502695e+02
4.64158883e-02	2.04850832e+02
4.73887961e-02	2.09296175e+02
4.83820966e-02	2.13841010e+02
4.93962174e-02	2.18487685e+02
5.04315949e-02	2.23238605e+02
5.14886745e-02	2.28096239e+02
5.25679112e-02	2.33063116e+02
5.36697695e-02	2.38141834e+02
5.47947234e-02	2.43335054e+02
5.59432571e-02	2.48645508e+02
5.71158648e-02	2.54075998e+02
5.83130511e-02	2.59629399e+02
5.95353313e-02	2.65308660e+02
6.07832313e-02	2.71116809e+02
6.20572881e-02	2.77056949e+02
6.33580499e-02	2.83132269e+02
6.46860766e-02	2.89346038e+02
6.60419396e-02	2.95701614e+02
6.74262224e-02	3.02202441e+02
6.88395207e-02	3.08852057e+02
7.02824426e-02	3.15654092e+02
7.17556092e-02	3.22612271e+02
7.32596543e-02	3.29730423e+02
7.47952252e-02	3.37012474e+02
7.63629826e-02	3.44462460e+02
7.79636013e-02	3.52084521e+02
7.95977700e-02	3.59882912e+02
8.12661920e-02	3.67862000e+02
8.29695852e-02	3.76026273e+02
8.47086827e-02	3.84380339e+02
8.64842328e-02	3.92928931e+02
8.82969996e-02	4.01676912e+02
9.01477631e-02	4.10629277e+02
9.20373200e-02	4.19791157e+02
9.39664831e-02	4.29167826e+02
9.59360829e-02	4.38764702e+02
9.79469667e-02	4.48587350e+02
1.00000000e-01	4.58641493e+02
1.02096066e-01	4.68933008e+02
1.04236067e-01	4.79467939e+02
1.06420924e-01	4.90252495e+02
1.08651577e-01	5.01293059e+02
1.10928986e-01	5.12596192e+02
1.13254132e-01	5.24168639e+02
1.15628013e-01	5.36017333e+02
1.18051653e-01	5.48149402e+02
1.20526094e-01	5.60572175e+02
1.23052400e-01	5.73293187e+02
1.25631660e-01	5.86320186e+02
