# name	redshift	redshift_err	ra	dec	semimaj_arcsec	axial_ratio	pos_angle	global_flag	GALEX.FUV	GALEX.FUV_err	GALEX.FUV_flag	GALEX.NUV	GALEX.NUV_err	GALEX.NUV_flag	SDSS.u	SDSS.u_err	SDSS.u_flag	SDSS.g	SDSS.g_err	SDSS.g_flag	SDSS.r	SDSS.r_err	SDSS.r_flag	SDSS.i	SDSS.i_err	SDSS.i_flag	SDSS.z	SDSS.z_err	SDSS.z_flag	2MASS.J	2MASS.J_err	2MASS.J_flag	2MASS.H	2MASS.H_err	2MASS.H_flag	2MASS.Ks	2MASS.Ks_err	2MASS.Ks_flag	WISE.W1	WISE.W1_err	WISE.W1_flag	WISE.W2	WISE.W2_err	WISE.W2_flag	WISE.W3	WISE.W3_err	WISE.W3_flag	WISE.W4	WISE.W4_err	WISE.W4_flag	Spitzer.IRAC.I1	Spitzer.IRAC.I1_err	Spitzer.IRAC.I1_flag	Spitzer.IRAC.I2	Spitzer.IRAC.I2_err	Spitzer.IRAC.I2_flag	Spitzer.IRAC.I3	Spitzer.IRAC.I3_err	Spitzer.IRAC.I3_flag	Spitzer.IRAC.I4	Spitzer.IRAC.I4_err	Spitzer.IRAC.I4_flag	Spitzer.MIPS.24mu	Spitzer.MIPS.24mu_err	Spitzer.MIPS.24mu_flag	Spitzer.MIPS.70mu	Spitzer.MIPS.70mu_err	Spitzer.MIPS.70mu_flag	Spitzer.MIPS.160mu	Spitzer.MIPS.160mu_err	Spitzer.MIPS.160mu_flag	Herschel.PACS.blue	Herschel.PACS.blue_err	Herschel.PACS.blue_flag	Herschel.PACS.green	Herschel.PACS.green_err	Herschel.PACS.green_flag	Herschel.PACS.red	Herschel.PACS.red_err	Herschel.PACS.red_flag	Herschel.SPIRE.PSW	Herschel.SPIRE.PSW_err	Herschel.SPIRE.PSW_flag	Herschel.SPIRE.PMW	Herschel.SPIRE.PMW_err	Herschel.SPIRE.PMW_flag	Herschel.SPIRE.PLW	Herschel.SPIRE.PLW_err	Herschel.SPIRE.PLW_flag
  NGC3898	0.00386	0.00001	177.31365 56.08403 310.928317908  1.63041716814 17.0123398018 ""          0.00537977803468 2.99682855102E-4 ""             0.00545318225825 1.94574384382E-4 ""             0.0354973057801 0.00174332394312 ""          0.145672229925 0.00187256903554 ""          0.278452576451 0.00267294643895 ""          0.403647371746 0.00401672825073 ""          0.476932453667 0.00913868125733 ""          0.650577564183 0.0144630672616 ""           0.722486083351 0.0214573061148 ""           0.676177213551 0.0211666411658 ""            0.314438239227 0.00965063628585 ""            0.171267918225 0.00726116093413 ""            0.160404159281 0.0116467021931 ""           0.111005453721 0.0264470537155 ""           0.26982093328 0.00944363854825 n                0.164146624028 0.00588898048301 n                ""          ""              ""               ""          ""              ""               ""         ""             ""              ""         ""             ""              ""          ""              ""               ""      ""          ""           3.39943849824 3.67213156703 n             4.20816358926 3.79007708028 n             3.8617382301 0.391000959086 ""             2.04115250933 0.300802465629 ""             0.867412522553 0.163957437494 "" 
  NGC4351	0.00775	0.00000	186.006 12.2046 132.826403578  1.30396547108 -20.6674345472 ""          0.00268730407701 1.25880833817E-4 ""             0.00405163852323 1.17208597735E-4 ""             0.0114480941032 5.06492911136E-4 ""          0.0319139648692 5.33877079891E-4 ""          0.0470802116634 7.42335387298E-4 ""          0.058453141134 0.0012570132331 ""          0.0610125958295 0.00255895060119 ""          0.0830916672449 0.00692481009458 ""           0.159743209037 0.0240767067542 ""           0.0783440484017 0.0103805527349 ""            0.0349134635473 0.00165714079369 ""            0.0201131015067 0.00173742700084 ""            0.0521483804491 0.00896905190727 ""           0.0561918033948 0.0142776943393 ""           0.0393203881322 0.00187935681004 ""               0.0239904798491 0.00122263895629 ""               0.0427808855161 0.00869279400878 ""               0.034126391822 0.00599407980008 a                0.0605464182788 0.00657117646703 ""              0.80568696841 0.108312219417 a               2.83121345879 -0.339745615054 ""               0.293201275956 0.615950775232 ""           2.59178292854 0.491598098967 ""            1.93834620401 1.03664205215 ""            1.54525892446 0.154488047205 ""             0.747586401552 0.0830933125548 ""             0.291594572956 0.0618772563267 ""            
  NGC3364	0.00911	0.00001	162.1242 72.42506 77.9422863406  1.00002142896 135.000038006 ""          0.00255394279321 2.38184223738E-4 ""             0.00280833479981 1.1095067916E-4 ""             ""     ""         ""          ""     ""         ""          ""     ""         ""          ""     ""         ""          ""     ""         ""          0.0657226886343 0.00394455566362 ""           0.0867110855033 0.0186920541729 ""           0.0619692139141 0.0087627568421 ""            0.0313228999928 0.00117364442349 ""            0.0186619600201 0.00101136208219 ""            0.0796320197669 0.00467034854818 ""           0.10620604283 0.00849237149471 ""           0.0315429327438 0.0013770249475 ""               0.0209283610805 0.00124461265072 ""               ""          ""              ""               ""          ""              ""               ""         ""             ""              ""         ""             ""              ""          ""              ""               ""      ""          ""           3.2125274451 0.469002898962 ""            3.47725309107 0.453330764311 ""            2.1269305575 0.179729162112 ""             0.961144242201 0.122788054991 ""             0.34840303683 0.0438633928478 ""
  NGC4254	0.00803	0.00000	184.70655 14.41641 421.336905129  1.34709868225 -35.744970233 ""          0.0356198151139 0.00160817439377 ""             0.0554004306549 0.00150563129879 ""             0.131646385563 0.00214310443727 ""          0.366883120144 0.00397030412058 ""          0.569881090324 0.00601867641706 ""          0.735581538385 0.00886453602202 ""          0.759217155465 0.0169410255177 ""          0.732962096652 0.0376338539446 ""           0.961823221166 0.0601198724733 ""           1.24194777169 0.0655150259797 ""            0.660032403713 0.0202332998675 ""            0.417418720711 0.0176834016705 ""            3.63106696166 0.171276030293 ""           4.59729401208 0.270724459227 ""           0.686052420378 0.0231043075762 N                0.348028949553 0.0253243931348 N                1.3603223097 0.0442457251497 N                4.28270115381 0.131581652343  aN               3.99525316198 0.200111226037 N               43.4439485265 4.75539142236  N               128.608358341 -15.4330030009  N                64.088412946 8.46290520747 n            103.865698682 10.3782264295 n             132.54494654 10.3871306125 n             63.0287231132 3.6936429229  ""             25.6179914238 1.5696837105  ""             8.75322129322 0.564802750581 ""
